region,sanctuary,title,title_style,title_size,story_link,image_gdrive_sharable_link,img_rel
National,NA,Listening to the (Not So) Silent World,NA,NA,https://sanctuaries.noaa.gov/news/feb21/sanctsound-overview.html,https://drive.google.com/file/d/1VzUstJ8lNqFg1h2bIj4PqsUH0UEPskO1/view?usp=sharing,files/Ntl_Listening_Silent_World.jpg
National,NA,SanctSound Story Map,NA,NA,https://sanctuaries.noaa.gov/science/monitoring/sound/sanctsound-storymap.html,https://drive.google.com/file/d/16WZK4VdMJ_r2HZgvw8GJtQq_blwQ7k7_/view?usp=sharing,files/Ntl_StoryMap_waterhalo.jpg
National,NA,Training Machines to Listen,NA,NA,https://sanctuaries.noaa.gov/news/sep21/artificial-intelligence-sanctsound.html,https://drive.google.com/file/d/1giZFFuYyLq1JFpLFk0SJC4SZK7OO3pxk/view?usp=sharing,files/Ntl_ScientistTrainingMachines.jpg
National,NA,Oh Snap!,NA,NA,https://sanctuaries.noaa.gov/news/dec21/oh-snap.html,https://drive.google.com/file/d/1z5c8VVAxBBtD7I0qEOnDCgI0L3znXk8D/view?usp=sharing,files/Ntl_OhSnap.jpg
National,NA,Listen Up! Vessel Traffic,NA,NA,https://sanctuaries.noaa.gov/science/monitoring/sound/listen-up.html,https://drive.google.com/file/d/1_eUt0mQxJXowF70Bb7tPfY99tTWv4yxn/view?usp=sharing,files/Ntl_ListenUp_StoryMap.png
National,NA,Live for Listening,NA,NA,https://sanctuaries.noaa.gov/news/apr22/new-sanctsound-portal.html,https://drive.google.com/file/d/1E5fKO5DFqLYvH6zz8WauTQz5-rK9wqli/view?usp=sharing,files/Ntl_Live-for-listening.png
Eastern,GRNMS,Estimating Fishing and Diving Use,NA,NA,https://graysreef.noaa.gov/news/2021/estimating-fishing-diving-use-by-listening-to-boats.html,https://drive.google.com/file/d/1VkW9Yk0Bx5za75T38_l646Ka1r3tANdM/view?usp=sharing,files/ECR_GRNMS_FishingDiving.jpg
Eastern,GRNMS,Boat Visitation,NA,NA,https://graysreef.noaa.gov/news/2021/observations-of-boat-visitation-at-grays-reef-nms.html,https://drive.google.com/file/d/1-2DLLoM8fn7UC0iIK--_Vcg8QxsNunHH/view?usp=sharing,files/ECR_GRNMS_StoryMap_Vessels.jpg
Eastern,FKNMS,"Hum, Crackle, Knock",NA,NA,https://sanctuaries.noaa.gov/news/jun21/monitoring-reefs-florida-keys.html,https://drive.google.com/file/d/1i-nDL6mm3KR2zgLYNmL_x9aFa8m0exV1/view?usp=sharing,files/ECR_FKNMS_HumCrackleKnock.jpg
Eastern,SBNMS,Listening in the Time of COVID-19,NA,NA,https://sanctuaries.noaa.gov/news/mar21/listening-during-quarantine.html,https://drive.google.com/file/d/1bgB9YYdGOnOHZSRyqu196nfndlVLK4e1/view?usp=sharing,files/ECR_SBNMS_ListeningCOVID.jpg
Eastern,SBNMS,Year-Round Whale Presence,NA,NA,https://sanctuaries.noaa.gov/news/feb22/listening-closely.html,https://drive.google.com/file/d/1SQEw-R1QWSyb6odl8SIPyROeU4LKbRyn/view?usp=sharing,files/ECR_SBNMS_Year-Round_Whale.jpg
Pacific Islands,HIHWNMS,Eavesdropping on Whales,NA,NA,https://sanctuaries.noaa.gov/news/feb21/eavesdropping-on-whales.html,https://drive.google.com/file/d/1ck_8Vt_M2q8J7TNUpxTVhPRUS41gnh_H/view?usp=sharing,files/PIR_HIHWNMS_EavesdroppingWhales.jpg
Pacific Islands,PMNM,Along for the Glide,NA,NA,https://sanctuaries.noaa.gov/news/jul21/along-for-the-glide.html,https://drive.google.com/file/d/1d2AU02pnjSfXlO_uDjsIfFlropoqiAmg/view?usp=sharing,files/PIR_PMNM_AlongForTheGlide.jpg
Pacific Islands,HIHWNMS,Signals of the Sea,NA,NA,https://sanctuaries.noaa.gov/news/mar22/signals-of-the-sea.html,https://drive.google.com/file/d/1Cr3hy0dNB2RNUlTuhgwUG9mLbJRp37rL/view?usp=sharing,files/PIR_Signals-sea-map.jpg
West Coast,CINMS,"One Fish, Two Fish",NA,NA,https://sanctuaries.noaa.gov/news/mar21/calling-fish.html,https://drive.google.com/file/d/1TnCjFps_hTS06p1A-Rph5hpKREE6zsFt/view?usp=sharing,files/WCR_CINMS_OneFish_TwoFish_cropped.jpg
West Coast,MBNMS,Understanding Noise in Monterey Bay,NA,NA,https://sanctuaries.noaa.gov/news/apr21/understanding-underwater-noise.html,https://drive.google.com/file/d/1ea6OYlqnfvbfILxmcre4ZDhjTOGRq1Io/view?usp=sharing,files/WCR_MBNMS_UnderwaterNoiseMBNMS.jpg
West Coast,OCNMS,United in Song,NA,NA,https://sanctuaries.noaa.gov/news/jul21/humpbacks-olympic-coast.html,https://drive.google.com/file/d/1i89t5-jsA2hlhr8YGZvffR-ABZ7NP-Ra/view?usp=sharing,files/WCR_OCNMS_UnitedSong.jpg
