modal_id,modal_title,sanctuary_code,icon_sound_subcategory,sound_category,sound_subcategory
cinms_bocaccio,Bocaccio,CINMS,Animal: Fish,Animal,Fish
cinms_plainfin-midshipman,Plainfin midshipman,CINMS,Animal: Fish,Animal,Fish
cinms_snapping-shrimp,Snapping shrimp,CINMS,Animal: Invertebrates,Animal,Invertebrates
cinms_blue-whales,Blue whales,CINMS,Animal: Marine mammals,Animal,Marine mammals
cinms_dolphins,Dolphins,CINMS,Animal: Marine mammals,Animal,Marine mammals
cinms_fin-whales,Fin whales,CINMS,Animal: Marine mammals,Animal,Marine mammals
cinms_gray-whales,Gray whales,CINMS,Animal: Marine mammals,Animal,Marine mammals
cinms_humpback-whales,Humpback whales,CINMS,Animal: Marine mammals,Animal,Marine mammals
cinms_sea-lions,Sea lions,CINMS,Animal: Marine mammals,Animal,Marine mammals
cinms_seal-bombs,Seal bombs,CINMS,Human-made: Explosions,Human-made,Explosions
cinms_echosounders,Echosounders,CINMS,Human-made: Sonar,Human-made,Sonar
cinms_sonars,Sonars,CINMS,Human-made: Sonar,Human-made,Sonar
cinms_vessels,Vessels,CINMS,Human-made: Vessels,Human-made,Vessels
cinms_rain,Rain,CINMS,Physical: Rain,Physical,Rain
cinms_wind-and-waves,Wind and waves,CINMS,Physical: Wind and waves,Physical,Wind and waves
cinms_snapshots,Snapshots,CINMS,Soundscape:,Soundscape,NA
fknms_atlantic-midshipman,Atlantic midshipman,FKNMS,Animal: Fish,Animal,Fish
fknms_black-grouper,Black grouper,FKNMS,Animal: Fish,Animal,Fish
fknms_fish-chorus,Fish chorus,FKNMS,Animal: Fish,Animal,Fish
fknms_red-grouper,Red grouper,FKNMS,Animal: Fish,Animal,Fish
fknms_snapping-shrimp,Snapping shrimp,FKNMS,Animal: Invertebrates,Animal,Invertebrates
fknms_dolphins,Dolphins,FKNMS,Animal: Marine mammals,Animal,Marine mammals
fknms_explosions,Explosions,FKNMS,Human-made: Explosions,Human-made,Explosions
fknms_scuba-bubbles,Scuba bubbles,FKNMS,Human-made: Scuba bubbles,Human-made,Scuba bubbles
fknms_vessels,Vessels,FKNMS,Human-made: Vessels,Human-made,Vessels
fknms_hurricanes,Hurricanes,FKNMS,Physical: Hurricane,Physical,Hurricane
fknms_rain,Rain,FKNMS,Physical: Rain,Physical,Rain
fknms_wind-and-waves,Wind and waves,FKNMS,Physical: Wind and waves,Physical,Wind and waves
fknms_snapshots,Snapshots,FKNMS,Soundscape:,Soundscape,NA
grnms_fish-chorus,Fish chorus,GRNMS,Animal: Fish,Animal,Fish
grnms_toadfish,Toadfish,GRNMS,Animal: Fish,Animal,Fish
grnms_snapping-shrimp,Snapping shrimp,GRNMS,Animal: Invertebrates,Animal,Invertebrates
grnms_dolphins,Dolphins,GRNMS,Animal: Marine mammals,Animal,Marine mammals
grnms_right-whales,Right whales,GRNMS,Animal: Marine mammals,Animal,Marine mammals
grnms_scuba-bubbles,Scuba bubbles,GRNMS,Human-made: Scuba bubbles,Human-made,Scuba bubbles
grnms_vessels,Vessels,GRNMS,Human-made: Vessels,Human-made,Vessels
