svg,id,title,link,not_modal
cinms_pelagic.svg,baleen-whales,Baleen whales,modals/test-video.html,
cinms_pelagic.svg,forage-assemblage,Forage Assemblage,modals/test-video.html,
cinms_pelagic.svg,forage-fish,Forage Fish,modals/test-video.html,
cinms_pelagic.svg,forage-inverts,Forage Invertebrates,modals/test-video.html,
cinms_pelagic.svg,key-climate-ocean,Key climate & ocean drivers,modals/test-video.html,
cinms_pelagic.svg,key-human-activities,Key human activities and impacts of pelagic,modals/test-video.html,
cinms_pelagic.svg,midwater-assemblage,Midwater assemblage,modals/test-video.html,
cinms_pelagic.svg,nesting-birds,Nesting  birds,modals/test-video.html,
cinms_pelagic.svg,pinnipeds,Pinnipeds,modals/test-video.html,
cinms_pelagic.svg,plankton,Plankton,modals/test-video.html,
cinms_pelagic.svg,seabirds,Seabirds at sea,modals/test-video.html,
