yyyy-mm-ddTHH:MM:SSZ, BB_0.02-24k, 
2018-10-31T22:00:02.000Z,119.518929, 
2018-10-31T23:00:02.000Z,119.03228, 
2018-10-31T23:59:54.000Z,118.45298, 
2018-11-01T00:59:54.000Z,120.255379, 
2018-11-01T01:59:54.000Z,119.527054, 
2018-11-01T02:59:52.000Z,119.872963, 
2018-11-01T03:59:52.000Z,119.483421, 
2018-11-01T04:59:52.000Z,119.095062, 
2018-11-01T05:59:51.000Z,119.829849, 
2018-11-01T06:59:51.000Z,120.235535, 
2018-11-01T07:59:51.000Z,120.634834, 
2018-11-01T08:59:50.000Z,119.937294, 
2018-11-01T09:59:50.000Z,120.544212, 
2018-11-01T10:59:50.000Z,120.241455, 
2018-11-01T11:59:49.000Z,120.610641, 
2018-11-01T12:59:49.000Z,120.846436, 
2018-11-01T13:59:49.000Z,120.455841, 
2018-11-01T14:59:47.000Z,118.930962, 
2018-11-01T15:59:47.000Z,118.840317, 
2018-11-01T16:59:47.000Z,118.402374, 
2018-11-01T17:59:46.000Z,117.929329, 
2018-11-01T18:59:46.000Z,117.11808, 
2018-11-01T19:59:46.000Z,116.505913, 
2018-11-01T20:59:45.000Z,116.963341, 
2018-11-01T21:59:45.000Z,118.151894, 
2018-11-01T22:59:45.000Z,117.673241, 
2018-11-01T23:59:44.000Z,118.256348, 
2018-11-02T00:59:44.000Z,119.347878, 
2018-11-02T01:59:44.000Z,119.062294, 
2018-11-02T02:59:43.000Z,118.965576, 
2018-11-02T03:59:43.000Z,119.298332, 
2018-11-02T04:59:43.000Z,118.782684, 
2018-11-02T05:59:42.000Z,117.843941, 
2018-11-02T06:59:42.000Z,117.862427, 
2018-11-02T07:59:42.000Z,118.913353, 
2018-11-02T08:59:40.000Z,119.823792, 
2018-11-02T09:59:40.000Z,119.393661, 
2018-11-02T10:59:40.000Z,119.753883, 
2018-11-02T11:59:39.000Z,120.275085, 
2018-11-02T12:59:39.000Z,120.865295, 
2018-11-02T13:59:39.000Z,120.51226, 
2018-11-02T14:59:38.000Z,118.769325, 
2018-11-02T15:59:38.000Z,118.660667, 
2018-11-02T16:59:38.000Z,117.504814, 
2018-11-02T17:59:36.000Z,117.325653, 
2018-11-02T18:59:36.000Z,116.581062, 
2018-11-02T19:59:36.000Z,117.136436, 
2018-11-02T20:59:35.000Z,116.853569, 
2018-11-02T21:59:35.000Z,116.691864, 
2018-11-02T22:59:35.000Z,117.567238, 
2018-11-02T23:59:34.000Z,118.323334, 
2018-11-03T00:59:34.000Z,120.310936, 
2018-11-03T01:59:34.000Z,120.005959, 
2018-11-03T02:59:33.000Z,118.828918, 
2018-11-03T03:59:33.000Z,119.115013, 
2018-11-03T04:59:33.000Z,119.433968, 
2018-11-03T05:59:31.000Z,119.632118, 
2018-11-03T06:59:31.000Z,119.815392, 
2018-11-03T07:59:31.000Z,121.592651, 
2018-11-03T08:59:30.000Z,122.150673, 
2018-11-03T09:59:30.000Z,122.430038, 
2018-11-03T10:59:30.000Z,121.874573, 
2018-11-03T11:59:29.000Z,121.675842, 
2018-11-03T12:59:29.000Z,121.215004, 
2018-11-03T13:59:29.000Z,120.502945, 
