yyyy-mm-ddTHH:MM:SSZ, OL_31.5, OL_63, OL_125, OL_250, OL_500, OL_1k, OL_2k, OL_4k, OL_8k, OL_16k, OL_32k, 
2018-10-31T21:00:02Z,124.942155,121.488207,122.687834,125.104546,124.584157,121.025966,117.628925,115.638645,112.843535,109.737063,106.985742, 
2018-10-31T22:00:02Z,114.282986,96.393177,87.983633,84.905211,87.623737,90.158852,98.136244,107.127085,109.6985,106.928185,103.559057, 
2018-10-31T23:00:02Z,113.126137,96.89474,92.73386,91.927636,91.720248,91.868335,99.073373,107.788678,110.287704,107.504037,104.211542, 
2018-11-01T00:00:02Z,111.141324,96.584463,91.039442,85.194459,87.624541,90.830366,99.287853,108.276848,110.953902,108.117461,104.964188, 
2018-11-01T01:00:02Z,111.432359,95.565583,87.950039,87.62458,91.584751,92.752555,101.617242,110.845861,113.480549,111.113439,108.129862, 
2018-11-01T02:00:02Z,109.67669,94.742517,87.922757,91.805497,92.043622,91.918552,100.940468,110.144848,113.007312,111.081342,108.180589, 
2018-11-01T03:00:02Z,109.901609,95.357411,89.404993,92.403212,92.535616,91.503259,101.065259,110.114549,112.865877,110.844723,108.010538, 
2018-11-01T04:00:02Z,108.606828,93.801079,87.100815,87.686673,87.346976,90.167287,101.065529,110.061121,112.795611,110.742749,107.82953, 
2018-11-01T05:00:02Z,108.803402,93.594452,86.496917,85.797265,85.691827,89.492788,100.752865,110.034347,112.740164,110.697455,107.827347, 
2018-11-01T06:00:02Z,109.35588,94.806516,87.300165,85.828122,84.465271,89.028124,100.895328,110.606011,112.929545,110.863382,108.098253, 
2018-11-01T07:00:02Z,110.195607,95.550343,88.558111,86.669372,85.086141,89.066399,101.132465,110.435004,113.068833,111.033434,108.208488, 
2018-11-01T08:00:02Z,111.39335,96.311971,88.976525,85.608963,84.251783,89.617876,101.630502,111.161465,113.899497,111.998608,109.011018, 
2018-11-01T09:00:02Z,111.986396,94.512894,87.294141,86.129972,83.451979,88.563823,100.735758,110.711714,113.517613,111.239759,108.254225, 
2018-11-01T10:00:02Z,112.488095,95.091841,87.94461,84.857392,83.25177,89.069206,101.32621,111.181519,114.029501,111.709437,108.81517, 
2018-11-01T11:00:02Z,110.479861,93.176973,86.983645,83.592384,82.913626,88.858385,101.128441,111.010205,114.052517,111.773459,108.931241, 
2018-11-01T12:00:02Z,110.875021,94.37777,87.108832,83.724118,83.611407,89.51679,101.746913,111.316136,114.319651,111.983532,109.178215, 
2018-11-01T13:00:02Z,110.305065,93.869627,87.342979,83.162589,83.316077,89.775847,102.007755,111.921602,114.784094,112.339262,109.572319, 
2018-11-01T14:00:02Z,109.150247,93.709967,93.792667,91.313816,89.769658,91.941857,102.448673,112.036947,114.464095,111.685309,108.555183, 
2018-11-01T15:00:02Z,109.445619,93.450048,94.87232,95.808431,91.862847,93.406247,101.238042,110.273298,112.537494,109.628797,106.455882, 
2018-11-01T16:00:02Z,110.329718,93.111298,86.046557,82.800673,83.23346,88.580542,100.201262,109.622316,112.03101,109.097503,105.770924, 
2018-11-01T17:00:02Z,110.921941,94.032671,85.479025,81.205585,81.847602,88.11577,99.777682,109.146677,111.553924,108.707832,105.180621, 
2018-11-01T18:00:02Z,110.618601,93.75445,85.448204,81.329921,81.426362,87.533336,99.799042,108.743432,111.013946,108.173405,104.888861, 
2018-11-01T19:00:02Z,108.351703,92.782132,87.276404,84.273133,83.239285,87.41314,98.419211,107.642752,110.057734,107.342474,104.091969, 
2018-11-01T20:00:02Z,106.989828,92.015978,89.813427,90.747759,87.524677,89.333937,98.370194,107.353528,109.641304,106.911697,103.495794, 
2018-11-01T21:00:02Z,108.064204,94.49605,90.260433,94.223567,88.703455,91.335359,98.011747,106.994845,109.449525,106.655914,103.339388, 
2018-11-01T22:00:02Z,110.020707,95.379024,88.311613,84.142023,81.868146,87.162542,98.505854,107.713504,110.182174,107.349955,104.373313, 
2018-11-01T23:00:02Z,108.888757,93.834663,86.701741,82.045632,80.633588,86.868212,98.30831,108.181316,110.666836,107.851998,104.725034, 
2018-11-02T00:00:02Z,108.980665,91.725697,90.810456,96.056948,93.96592,94.827854,100.568062,109.261066,111.773412,108.97904,105.874176, 
2018-11-02T01:00:02Z,109.361643,91.336335,84.266122,82.993719,84.443235,89.468581,100.987788,110.713731,113.269147,111.117168,108.087148, 
2018-11-02T02:00:02Z,110.251475,92.227493,85.094151,87.354983,87.207199,88.569501,99.980508,109.655402,112.666277,110.712717,107.861108, 
2018-11-02T03:00:02Z,110.699929,92.101584,84.920368,86.13585,86.294357,89.342654,100.230105,109.7778,112.45302,110.248359,107.383985, 
2018-11-02T04:00:02Z,110.078946,91.660834,83.508121,84.478334,84.278978,87.985894,99.813639,109.156726,112.117645,110.11801,107.301199, 
2018-11-02T05:00:02Z,109.63956,92.94889,86.180419,84.119479,83.095808,87.776885,99.730771,109.067573,111.939203,109.866299,106.950509, 
2018-11-02T06:00:02Z,107.585382,95.800783,90.692491,86.754864,83.870457,87.337966,98.918997,108.293173,111.071986,109.062603,106.10645, 
2018-11-02T07:00:02Z,107.294455,95.62255,89.68526,84.760581,83.638325,88.189859,100.761962,108.773211,111.371183,109.436853,106.626229, 
2018-11-02T08:00:02Z,107.809975,97.063523,90.64198,85.474105,84.462509,89.120495,100.846781,109.631425,112.2795,110.288841,107.372987, 
2018-11-02T09:00:02Z,109.732024,92.863523,86.816673,85.955995,84.52122,89.928116,102.235964,110.667953,113.270209,111.130777,108.005183, 
2018-11-02T10:00:02Z,107.315994,90.236075,84.301854,84.169169,83.66515,89.334629,101.263654,110.815304,113.637339,111.376573,108.372946, 
2018-11-02T11:00:02Z,106.296194,90.439937,86.57628,87.264869,85.930362,90.190116,101.752351,111.193563,114.086807,111.744382,108.776712, 
2018-11-02T12:00:02Z,106.949929,89.510385,84.454189,85.959798,85.109076,89.942421,102.057628,111.7653,114.552737,112.201317,109.135236, 
2018-11-02T13:00:02Z,105.184072,88.442261,83.943144,84.508685,83.2221,90.365647,102.745906,112.553335,115.491317,112.98692,109.947876, 
2018-11-02T14:00:02Z,106.938777,90.046714,88.641669,90.238765,90.185585,93.098154,103.926563,112.695405,114.866505,111.909413,108.482069, 
2018-11-02T15:00:02Z,106.969738,90.267488,83.803607,81.967708,82.103875,89.390274,101.496065,110.668649,112.924429,109.905753,106.508481, 
2018-11-02T16:00:02Z,106.584513,92.586941,92.298135,96.638042,92.081295,93.721733,101.919324,110.262048,112.470529,109.601151,106.16086, 
2018-11-02T17:00:02Z,107.313888,91.18385,83.892633,81.218125,81.498322,88.251532,100.032712,109.19313,111.327234,108.369783,104.914142, 
2018-11-02T18:00:02Z,108.230561,91.689273,84.392923,80.903265,80.404878,86.953364,98.600748,107.984737,110.156023,107.22896,103.710083, 
2018-11-02T19:00:02Z,107.821324,90.033736,83.375152,81.017351,80.118097,87.767145,99.090453,108.013604,110.054628,107.243687,103.763978, 
